nWifi	phyRate	throughput
38	DsssRate2Mbps	1.1223
38	DsssRate1Mbps	0.557056
39	DsssRate11Mbps	3.93216
39	DsssRate5_5Mbps	2.54771
39	DsssRate2Mbps	1.15507
39	DsssRate1Mbps	0.557056
40	DsssRate11Mbps	3.94035
40	DsssRate5_5Mbps	2.54771
40	DsssRate2Mbps	1.08954
40	DsssRate1Mbps	0.57344
41	DsssRate11Mbps	3.85024
41	DsssRate5_5Mbps	2.5559
41	DsssRate2Mbps	1.14688
41	DsssRate1Mbps	0.557056
42	DsssRate11Mbps	3.98131
42	DsssRate5_5Mbps	2.57229
42	DsssRate2Mbps	1.17965
42	DsssRate1Mbps	0.57344
43	DsssRate11Mbps	3.91578
43	DsssRate5_5Mbps	2.59686
43	DsssRate2Mbps	1.16326
43	DsssRate1Mbps	0.581632
44	DsssRate11Mbps	3.88301
44	DsssRate5_5Mbps	2.54771
44	DsssRate2Mbps	1.10592
44	DsssRate1Mbps	0.557056
45	DsssRate11Mbps	3.94854
45	DsssRate5_5Mbps	2.65421
45	DsssRate2Mbps	1.13869
45	DsssRate1Mbps	0.57344
46	DsssRate11Mbps	3.93216
46	DsssRate5_5Mbps	2.5641
46	DsssRate2Mbps	1.14688
46	DsssRate1Mbps	0.557056
47	DsssRate11Mbps	3.88301
47	DsssRate5_5Mbps	2.54771
47	DsssRate2Mbps	1.13869
47	DsssRate1Mbps	0.557056
48	DsssRate11Mbps	3.93216
48	DsssRate5_5Mbps	2.59686
48	DsssRate2Mbps	1.16326
48	DsssRate1Mbps	0.557056
49	DsssRate11Mbps	3.88301
49	DsssRate5_5Mbps	2.5641
49	DsssRate2Mbps	1.10592
49	DsssRate1Mbps	0.565248
50	DsssRate11Mbps	3.82566
50	DsssRate5_5Mbps	2.5641
50	DsssRate2Mbps	1.14688
50	DsssRate1Mbps	0.557056
