nWifi	tcpVariant	throughput
37	TcpReno	3.93216
37	TcpNewReno	3.97312
37	TcpWestwood	3.95674
37	TcpWestwoodPlus	3.93216
38	TcpTahoe	3.86662
38	TcpReno	3.87482
38	TcpNewReno	3.90758
38	TcpWestwood	3.84205
38	TcpWestwoodPlus	3.87482
39	TcpTahoe	3.92397
39	TcpReno	3.8912
39	TcpNewReno	3.95674
39	TcpWestwood	3.89939
39	TcpWestwoodPlus	3.91578
40	TcpTahoe	3.90758
40	TcpReno	3.88301
40	TcpNewReno	3.92397
40	TcpWestwood	3.96493
40	TcpWestwoodPlus	3.96493
41	TcpTahoe	3.88301
41	TcpReno	3.91578
41	TcpNewReno	3.84205
41	TcpWestwood	3.87482
41	TcpWestwoodPlus	3.87482
42	TcpTahoe	3.91578
42	TcpReno	3.91578
42	TcpNewReno	3.8912
42	TcpWestwood	3.96493
42	TcpWestwoodPlus	3.96493
43	TcpTahoe	3.9977
43	TcpReno	3.94854
43	TcpNewReno	3.91578
43	TcpWestwood	3.94035
43	TcpWestwoodPlus	3.87482
44	TcpTahoe	3.87482
44	TcpReno	3.93216
44	TcpNewReno	3.88301
44	TcpWestwood	3.92397
44	TcpWestwoodPlus	3.88301
45	TcpTahoe	3.86662
45	TcpReno	3.95674
45	TcpNewReno	4.03866
45	TcpWestwood	3.92397
45	TcpWestwoodPlus	3.93216
46	TcpTahoe	4.00589
46	TcpReno	3.93216
46	TcpNewReno	3.94035
46	TcpWestwood	3.85843
46	TcpWestwoodPlus	3.92397
47	TcpTahoe	3.8912
47	TcpReno	3.83386
47	TcpNewReno	3.88301
47	TcpWestwood	3.88301
47	TcpWestwoodPlus	3.8912
48	TcpTahoe	3.91578
48	TcpReno	3.86662
48	TcpNewReno	3.91578
48	TcpWestwood	3.96493
48	TcpWestwoodPlus	3.97312
49	TcpTahoe	3.92397
49	TcpReno	3.94035
49	TcpNewReno	3.98131
49	TcpWestwood	3.92397
49	TcpWestwoodPlus	3.90758
50	TcpTahoe	3.8912
50	TcpReno	3.92397
50	TcpNewReno	3.81747
50	TcpWestwood	3.7847
50	TcpWestwoodPlus	3.85024
