nWifi	dataRate	throughput
27	700Mbps	3.91578
27	800Mbps	3.88301
28	100Mbps	4.06323
28	200Mbps	3.86662
28	300Mbps	3.88301
28	400Mbps	3.93216
28	500Mbps	3.89939
28	600Mbps	3.93216
28	700Mbps	3.92397
28	800Mbps	3.91578
29	100Mbps	3.90758
29	200Mbps	3.87482
29	300Mbps	3.93216
29	400Mbps	3.90758
29	500Mbps	3.91578
29	600Mbps	3.89939
29	700Mbps	3.89939
29	800Mbps	3.90758
30	100Mbps	3.88301
30	200Mbps	3.95674
30	300Mbps	3.85024
30	400Mbps	3.95674
30	500Mbps	3.94035
30	600Mbps	3.94035
30	700Mbps	3.91578
30	800Mbps	3.87482
31	100Mbps	3.90758
31	200Mbps	3.97312
31	300Mbps	3.91578
31	400Mbps	3.88301
31	500Mbps	4.00589
31	600Mbps	3.90758
31	700Mbps	3.92397
31	800Mbps	3.88301
32	100Mbps	3.92397
32	200Mbps	3.88301
32	300Mbps	3.91578
32	400Mbps	3.90758
32	500Mbps	3.93216
32	600Mbps	3.82566
32	700Mbps	3.90758
32	800Mbps	3.91578
33	100Mbps	3.94854
33	200Mbps	3.9977
33	300Mbps	3.89939
33	400Mbps	3.96493
33	500Mbps	4.00589
33	600Mbps	4.01408
33	700Mbps	4.00589
33	800Mbps	3.9895
34	100Mbps	3.90758
34	200Mbps	3.92397
34	300Mbps	4.00589
34	400Mbps	3.83386
34	500Mbps	3.87482
34	600Mbps	3.92397
34	700Mbps	3.8912
34	800Mbps	3.9977
35	100Mbps	3.89939
35	200Mbps	3.90758
35	300Mbps	3.88301
35	400Mbps	3.89939
35	500Mbps	3.83386
35	600Mbps	3.8912
35	700Mbps	3.93216
35	800Mbps	3.87482
36	100Mbps	3.92397
36	200Mbps	3.94854
36	300Mbps	4.04685
36	400Mbps	3.91578
36	500Mbps	3.85024
36	600Mbps	3.92397
36	700Mbps	3.98131
36	800Mbps	3.87482
37	100Mbps	3.89939
37	200Mbps	3.94035
37	300Mbps	3.8912
37	400Mbps	3.96493
37	500Mbps	3.86662
37	600Mbps	3.90758
37	700Mbps	3.97312
37	800Mbps	3.89939
38	100Mbps	3.7929
38	200Mbps	3.82566
38	300Mbps	3.7929
38	400Mbps	3.91578
38	500Mbps	3.89939
38	600Mbps	3.96493
38	700Mbps	3.83386
38	800Mbps	3.8912
39	100Mbps	3.97312
39	200Mbps	3.89939
39	300Mbps	4.01408
39	400Mbps	3.94035
39	500Mbps	3.96493
39	600Mbps	3.92397
39	700Mbps	3.9895
39	800Mbps	3.96493
40	100Mbps	3.94854
40	200Mbps	3.91578
40	300Mbps	3.89939
40	400Mbps	3.91578
40	500Mbps	3.85843
40	600Mbps	3.9895
40	700Mbps	4.00589
40	800Mbps	3.95674
41	100Mbps	3.94035
41	200Mbps	3.89939
41	300Mbps	3.91578
41	400Mbps	3.92397
41	500Mbps	3.90758
41	600Mbps	3.8912
41	700Mbps	3.82566
41	800Mbps	3.95674
42	100Mbps	3.94854
42	200Mbps	3.84205
42	300Mbps	3.8912
42	400Mbps	3.94854
42	500Mbps	3.94854
42	600Mbps	3.89939
42	700Mbps	4.03866
42	800Mbps	3.85024
43	100Mbps	3.87482
43	200Mbps	3.94854
43	300Mbps	3.91578
43	400Mbps	3.97312
43	500Mbps	3.88301
43	600Mbps	3.97312
43	700Mbps	3.89939
43	800Mbps	3.94035
44	100Mbps	3.86662
44	200Mbps	3.85843
44	300Mbps	3.90758
44	400Mbps	3.89939
44	500Mbps	3.82566
44	600Mbps	3.90758
44	700Mbps	3.85024
44	800Mbps	3.91578
45	100Mbps	3.90758
45	200Mbps	3.7929
45	300Mbps	3.86662
45	400Mbps	3.92397
45	500Mbps	3.93216
45	600Mbps	3.88301
45	700Mbps	3.94035
45	800Mbps	3.85024
46	100Mbps	3.96493
46	200Mbps	3.9895
46	300Mbps	3.90758
46	400Mbps	3.9977
46	500Mbps	3.91578
46	600Mbps	3.85024
46	700Mbps	3.97312
46	800Mbps	3.94854
47	100Mbps	3.89939
47	200Mbps	3.85843
47	300Mbps	3.87482
47	400Mbps	3.89939
47	500Mbps	3.94854
47	600Mbps	3.91578
47	700Mbps	3.90758
47	800Mbps	3.83386
48	100Mbps	3.89939
48	200Mbps	3.96493
48	300Mbps	3.92397
48	400Mbps	3.84205
48	500Mbps	3.8912
48	600Mbps	3.94035
48	700Mbps	3.88301
48	800Mbps	3.98131
49	100Mbps	3.87482
49	200Mbps	3.91578
49	300Mbps	3.92397
49	400Mbps	3.87482
49	500Mbps	3.87482
49	600Mbps	3.91578
49	700Mbps	3.86662
49	800Mbps	3.97312
50	100Mbps	3.83386
50	200Mbps	3.92397
50	300Mbps	3.89939
50	400Mbps	3.80928
50	500Mbps	3.8912
50	600Mbps	3.90758
50	700Mbps	3.93216
50	800Mbps	3.90758
