nWifi	payloadSize	throughput
15	7024	5.05728
15	7524	5.2969
15	8024	5.00698
15	8524	5.38717
15	9024	5.34221
15	9524	5.18106
15	10024	4.81152
16	1024	3.3833
16	1524	4.37693
16	2024	5.0681
16	2524	4.58358
16	3024	4.93517
16	3524	4.90541
16	4024	5.27949
16	4524	4.84973
16	5024	5.024
16	5524	4.86112
16	6024	5.30112
16	6524	5.37578
16	7024	5.16966
16	7524	5.17651
16	8024	5.07117
16	8524	5.45536
16	9024	5.27002
16	9524	5.02867
16	10024	5.13229
17	1024	3.39149
17	1524	4.32816
17	2024	5.00333
17	2524	4.56339
17	3024	4.98355
17	3524	4.82083
17	4024	5.18291
17	4524	4.81354
17	5024	5.10438
17	5524	4.9495
17	6024	5.20474
17	6524	5.2192
17	7024	4.72013
17	7524	4.99594
17	8024	5.13536
17	8524	5.18259
17	9024	5.48659
17	9524	4.87629
17	10024	4.9719
18	1024	3.3833
18	1524	4.24282
18	2024	4.98714
18	2524	4.52301
18	3024	4.8384
18	3524	4.70806
18	4024	5.11853
18	4524	4.70496
18	5024	4.90342
18	5524	4.86112
18	6024	5.20474
18	6524	5.2192
18	7024	4.9449
18	7524	4.87555
18	8024	5.13536
18	8524	5.18259
18	9024	5.34221
18	9524	5.25725
18	10024	4.89171
19	1024	3.33414
19	1524	4.2672
19	2024	4.88998
19	2524	4.52301
19	3024	4.8384
19	3524	4.84902
19	4024	5.08634
19	4524	4.63258
19	5024	4.94362
19	5524	4.9495
19	6024	5.20474
19	6524	5.16701
19	7024	5.05728
19	7524	4.99594
19	8024	4.87859
19	8524	5.1144
19	9024	5.48659
19	9524	4.95248
19	10024	5.0521
20	1024	3.34234
20	1524	4.19405
20	2024	4.88998
20	2524	4.48262
20	3024	4.76582
20	3524	4.79264
20	4024	5.08634
20	4524	4.524
20	5024	4.98381
20	5524	4.77274
20	6024	5.01197
20	6524	5.2192
20	7024	4.77632
20	7524	4.75517
20	8024	5.13536
20	8524	4.90982
20	9024	5.34221
20	9524	4.57152
20	10024	4.89171
21	1024	3.28499
21	1524	4.21843
21	2024	4.84141
21	2524	4.36147
21	3024	4.81421
21	3524	4.73626
21	4024	4.98976
21	4524	4.70496
21	5024	4.98381
21	5524	4.68435
21	6024	4.86739
21	6524	5.06262
21	7024	4.8887
21	7524	4.99594
21	8024	4.94278
21	8524	4.77344
21	9024	5.34221
21	9524	4.57152
21	10024	4.9719
22	1024	3.23584
22	1524	4.16966
22	2024	4.8576
22	2524	4.32109
22	3024	4.69325
22	3524	4.65168
22	4024	4.92538
22	4524	4.63258
22	5024	4.86323
22	5524	4.72854
22	6024	4.91558
22	6524	5.2192
22	7024	4.77632
22	7524	4.81536
22	8024	4.8144
22	8524	4.90982
22	9024	5.05344
22	9524	5.02867
22	10024	4.41056
23	1024	3.23584
23	1524	4.15747
23	2024	4.76045
23	2524	4.36147
23	3024	4.79002
23	3524	4.70806
23	4024	5.08634
23	4524	4.59638
23	5024	4.74266
23	5524	4.68435
23	6024	4.96378
23	6524	5.2192
23	7024	5.00109
23	7524	4.75517
23	8024	4.75021
23	8524	5.04621
23	9024	5.19782
23	9524	4.64771
23	10024	5.0521
24	1024	3.22765
24	1524	4.07213
24	2024	4.76045
24	2524	4.26051
24	3024	4.71744
24	3524	4.67987
24	4024	4.8288
24	4524	4.59638
24	5024	4.90342
24	5524	4.64016
24	6024	4.91558
24	6524	4.95824
24	7024	4.60774
24	7524	4.93574
24	8024	4.8144
24	8524	4.90982
24	9024	5.05344
24	9524	4.8001
24	10024	4.81152
25	1024	3.24403
25	1524	4.07213
25	2024	4.69568
25	2524	4.24032
25	3024	4.64486
25	3524	4.62349
25	4024	4.8288
25	4524	4.63258
25	5024	4.82304
25	5524	4.64016
25	6024	4.8192
25	6524	5.06262
25	7024	4.77632
25	7524	4.99594
25	8024	4.87859
25	8524	4.90982
25	9024	5.27002
25	9524	5.02867
25	10024	4.65114
26	1024	3.15392
26	1524	4.03555
26	2024	4.6633
26	2524	4.22013
26	3024	4.47552
26	3524	4.48253
26	4024	4.86099
26	4524	4.56019
26	5024	4.78285
26	5524	4.72854
26	6024	4.77101
26	6524	5.06262
26	7024	4.77632
26	7524	4.81536
26	8024	4.62182
26	8524	4.77344
26	9024	5.05344
26	9524	4.8001
26	10024	4.41056
27	1024	3.14573
27	1524	4.03555
27	2024	4.56614
27	2524	4.15955
27	3024	4.45133
27	3524	4.48253
27	4024	4.76442
27	4524	4.45162
27	5024	4.58189
27	5524	4.55178
27	6024	4.77101
27	6524	5.06262
27	7024	4.72013
27	7524	4.75517
27	8024	4.8144
27	8524	4.70525
27	9024	4.90906
27	9524	4.8001
27	10024	4.25018
28	1024	3.12115
28	1524	3.98678
28	2024	4.59853
28	2524	4.19994
28	3024	4.45133
28	3524	4.51072
28	4024	4.73222
28	4524	4.41542
28	5024	4.58189
28	5524	4.50758
28	6024	4.77101
28	6524	4.90605
28	7024	4.49536
28	7524	4.75517
28	8024	4.8144
28	8524	4.70525
28	9024	4.98125
28	9524	4.7239
28	10024	4.57094
29	1024	3.16211
29	1524	3.95021
29	2024	4.59853
29	2524	4.15955
29	3024	4.62067
29	3524	4.42614
29	4024	4.73222
29	4524	4.27066
29	5024	4.5417
29	5524	4.50758
29	6024	4.57824
29	6524	5.01043
29	7024	4.83251
29	7524	4.81536
29	8024	4.49344
29	8524	4.77344
29	9024	5.05344
29	9524	5.02867
29	10024	4.33037
30	1024	3.12934
30	1524	3.97459
30	2024	4.59853
30	2524	4.26051
30	3024	4.45133
30	3524	4.48253
30	4024	4.8288
30	4524	4.524
30	5024	4.70246
30	5524	4.68435
30	6024	4.72282
30	6524	4.95824
30	7024	4.55155
30	7524	4.57459
30	8024	4.8144
30	8524	4.90982
30	9024	4.76467
30	9524	4.64771
30	10024	4.57094
31	1024	3.12934
31	1524	3.98678
31	2024	4.63091
31	2524	4.19994
31	3024	4.37875
31	3524	4.5671
31	4024	4.8288
31	4524	4.48781
31	5024	4.62208
31	5524	4.77274
31	6024	4.86739
31	6524	4.90605
31	7024	4.49536
31	7524	4.75517
31	8024	4.75021
31	8524	4.90982
31	9024	5.05344
31	9524	4.87629
31	10024	4.57094
32	1024	3.12934
32	1524	3.91363
32	2024	4.56614
32	2524	4.09898
32	3024	4.47552
32	3524	4.45434
32	4024	4.70003
32	4524	4.37923
32	5024	4.58189
32	5524	4.55178
32	6024	4.72282
32	6524	4.90605
32	7024	4.38298
32	7524	4.69498
32	8024	4.68602
32	8524	4.63706
32	9024	4.98125
32	9524	4.49533
32	10024	4.81152
33	1024	3.1785
33	1524	4.01117
33	2024	4.6633
33	2524	4.26051
33	3024	4.62067
33	3524	4.48253
33	4024	4.79661
33	4524	4.48781
33	5024	4.58189
33	5524	4.59597
33	6024	4.8192
33	6524	4.95824
33	7024	4.66394
33	7524	4.87555
33	8024	4.94278
33	8524	4.84163
33	9024	5.12563
33	9524	4.8001
33	10024	4.41056
34	1024	3.08838
34	1524	3.93802
34	2024	4.67949
34	2524	4.19994
34	3024	4.64486
34	3524	4.48253
34	4024	4.73222
34	4524	4.30685
34	5024	4.70246
34	5524	4.64016
34	6024	4.72282
34	6524	5.06262
34	7024	4.60774
34	7524	4.69498
34	8024	4.55763
34	8524	4.90982
34	9024	4.90906
34	9524	4.64771
34	10024	4.73133
35	1024	3.08019
35	1524	3.9624
35	2024	4.58234
35	2524	4.15955
35	3024	4.45133
35	3524	4.48253
35	4024	4.76442
35	4524	4.45162
35	5024	4.66227
35	5524	4.68435
35	6024	4.8192
35	6524	4.95824
35	7024	4.55155
35	7524	4.5144
35	8024	4.75021
35	8524	5.04621
35	9024	5.05344
35	9524	4.49533
35	10024	4.65114
36	1024	3.1703
36	1524	4.01117
36	2024	4.63091
36	2524	4.24032
36	3024	4.59648
36	3524	4.5671
36	4024	4.79661
36	4524	4.41542
36	5024	4.74266
36	5524	4.55178
36	6024	4.86739
