nWifi	payloadSize	throughput
15	7024	5.56301
15	7524	5.47747
15	8024	5.5847
15	8524	5.65994
15	9024	5.55878
15	9524	4.95248
15	10024	5.45306
16	1024	4.31718
16	1524	5.21818
16	2024	5.71578
16	2524	4.96723
16	3024	5.37062
16	3524	5.58202
16	4024	5.79456
16	4524	5.35642
16	5024	5.26515
16	5524	5.65658
16	6024	6.024
16	6524	6.10646
16	7024	5.16966
16	7524	5.11632
16	8024	5.71309
16	8524	5.65994
16	9024	6.13632
16	9524	5.10486
16	10024	5.45306
17	1024	4.27622
17	1524	5.23037
17	2024	5.84531
17	2524	4.74512
17	3024	5.37062
17	3524	5.44106
17	4024	5.85894
17	4524	4.9583
17	5024	5.5465
17	5524	5.21466
17	6024	5.73485
17	6524	5.8977
17	7024	5.50682
17	7524	5.41728
17	8024	5.52051
17	8524	5.65994
17	9024	5.91974
17	9524	5.33344
17	10024	5.21248
18	1024	4.2025
18	1524	5.01091
18	2024	5.65101
18	2524	4.84608
18	3024	5.20128
18	3524	5.58202
18	4024	5.82675
18	4524	5.17546
18	5024	5.30534
18	5524	5.70077
18	6024	5.78304
18	6524	5.8455
18	7024	5.11347
18	7524	5.17651
18	8024	5.19955
18	8524	5.65994
18	9024	5.77536
18	9524	4.87629
18	10024	5.53325
19	1024	4.16154
19	1524	5.10845
19	2024	5.65101
19	2524	4.92685
19	3024	5.24966
19	3524	5.52563
19	4024	5.73018
19	4524	5.10307
19	5024	5.024
19	5524	5.34723
19	6024	5.87942
19	6524	5.68893
19	7024	5.00109
19	7524	5.41728
19	8024	5.6489
19	8524	5.25078
19	9024	5.99194
19	9524	4.95248
19	10024	5.13229
20	1024	4.096
20	1524	5.10845
20	2024	5.65101
20	2524	4.82589
20	3024	5.17709
20	3524	5.32829
20	4024	5.60141
20	4524	4.88592
20	5024	5.10438
20	5524	5.56819
20	6024	5.59027
20	6524	5.63674
20	7024	4.83251
20	7524	5.11632
20	8024	5.52051
20	8524	5.59174
20	9024	5.4144
20	9524	4.87629
20	10024	5.53325
21	1024	4.06323
21	1524	4.97434
21	2024	5.65101
21	2524	4.52301
21	3024	5.1287
21	3524	5.41286
21	4024	5.56922
21	4524	5.13926
21	5024	5.18477
21	5524	5.39142
21	6024	5.68666
21	6524	5.8455
21	7024	5.22586
21	7524	5.17651
21	8024	5.39213
21	8524	5.45536
21	9024	5.84755
21	9524	5.02867
21	10024	5.0521
22	1024	4.07962
22	1524	4.92557
22	2024	5.58624
22	2524	4.66435
22	3024	5.22547
22	3524	5.38467
22	4024	5.69798
22	4524	5.03069
22	5024	5.26515
22	5524	5.43562
22	6024	5.54208
22	6524	5.58454
22	7024	4.9449
22	7524	5.53766
22	8024	5.5847
22	8524	5.18259
22	9024	5.55878
22	9524	5.63821
22	10024	4.81152
23	1024	4.07962
23	1524	4.96214
23	2024	5.53766
23	2524	4.82589
23	3024	5.1287
23	3524	5.58202
23	4024	5.82675
23	4524	4.9945
23	5024	5.22496
23	5524	5.21466
23	6024	5.54208
23	6524	5.8455
23	7024	5.39443
23	7524	5.41728
23	8024	5.45632
23	8524	5.86451
23	9024	5.63098
23	9524	4.64771
23	10024	5.13229
24	1024	4.03866
24	1524	4.90118
24	2024	5.53766
24	2524	4.62397
24	3024	5.00774
24	3524	5.07456
24	4024	5.56922
24	4524	4.74115
24	5024	5.06419
24	5524	5.21466
24	6024	5.3975
24	6524	5.68893
24	7024	4.8887
24	7524	5.47747
24	8024	5.26374
24	8524	5.59174
24	9024	5.84755
24	9524	5.40963
24	10024	5.29267
25	1024	4.02227
25	1524	4.82803
25	2024	5.48909
25	2524	4.64416
25	3024	4.91098
